zipcode,water_cells,water_acres,date
93243,76,16.90199315024488,2022-10-12
93249,724,161.01372422075386,2022-10-12
93250,235,52.26274197773088,2022-10-12
93251,66,14.678046683107397,2022-10-12
93263,466,103.63590536860677,2022-10-12
93276,20,4.447892934274969,2022-10-12
93280,1927,428.5544842173932,2022-10-12
93287,8,1.7791571737099874,2022-10-12
93301,63,14.01086274296615,2022-10-12
93304,80,17.791571737099876,2022-10-12
93305,46,10.230153748832429,2022-10-12
93306,636,141.442995309944,2022-10-12
93308,722,160.56893492732635,2022-10-12
93309,104,23.129043258229835,2022-10-12
93312,131,29.133698719501044,2022-10-12
93314,47,10.452548395546176,2022-10-12
93518,67,14.900441329821145,2022-10-12
93531,0,0,2022-10-12
93561,0,0,2022-10-12
