zipcode,ncells,acres,date
93252,162,36.02793276762725,2022-10-12
93268,24,5.337471521129962,2022-10-12
93307,1938,431.00082533124447,2022-10-12
93311,812,180.58445313156372,2022-10-12
93313,661,147.00286147778772,2022-10-12
93461,0,0,2022-10-12
93203,1412,314.0212411598128,2022-10-12
93206,375,83.39799251765567,2022-10-12
93215,1181,262.6480777689369,2022-10-12
93220,10,2.2239464671374845,2022-10-12
93224,7,1.556762526996239,2022-10-12
93241,4,0.8895785868549937,2022-10-12
93243,76,16.90199315024488,2022-10-12
93249,724,161.01372422075386,2022-10-12
93250,235,52.26274197773088,2022-10-12
93251,66,14.678046683107397,2022-10-12
93263,466,103.63590536860677,2022-10-12
93276,20,4.447892934274969,2022-10-12
93280,1927,428.5544842173932,2022-10-12
93287,8,1.7791571737099874,2022-10-12
93301,63,14.01086274296615,2022-10-12
93304,80,17.791571737099876,2022-10-12
93305,46,10.230153748832429,2022-10-12
93306,636,141.442995309944,2022-10-12
93308,722,160.56893492732635,2022-10-12
93309,104,23.129043258229835,2022-10-12
93312,131,29.133698719501044,2022-10-12
93314,47,10.452548395546176,2022-10-12
93518,67,14.900441329821145,2022-10-12
93531,0,0,2022-10-12
93561,0,0,2022-10-12
93252,3592,798.8415709957843,2022-11-13
93268,9358,2081.169103947258,2022-11-13
93307,4719,1049.4803378421789,2022-11-13
93311,55495,12341.79091937947,2022-11-13
93313,33097,7360.595622284932,2022-11-13
93461,0,0,2022-11-13
93203,3579,795.9504405885057,2022-11-13
93206,6245,1388.854568727359,2022-11-13
93215,10179,2263.7551088992454,2022-11-13
93220,7,1.556762526996239,2022-11-13
93224,8476,1885.0170255457317,2022-11-13
93241,6,1.3343678802824905,2022-11-13
93243,439,97.63124990733556,2022-11-13
93249,1121,249.304398966112,2022-11-13
93250,9206,2047.365117646768,2022-11-13
93251,9741,2166.3462536386232,2022-11-13
93263,2870,638.272636068458,2022-11-13
93276,73,16.234809210103634,2022-11-13
93280,6392,1421.54658179428,2022-11-13
93287,303,67.38557795426577,2022-11-13
93301,61,13.566073449538655,2022-11-13
93304,930,206.82702144378604,2022-11-13
93305,100,22.239464671374844,2022-11-13
93306,62,13.788468096252403,2022-11-13
93308,20052,4459.457455904084,2022-11-13
93309,3438,764.5927954018671,2022-11-13
93312,7055,1568.9942325654952,2022-11-13
93314,16210,3605.017223229862,2022-11-13
93518,628,139.663838136234,2022-11-13
93531,0,0,2022-11-13
93561,57,12.676494862683661,2022-11-13
93252,218,48.48203298359716,2022-11-29
93268,223,49.5940062171659,2022-11-29
93307,2281,507.2821891540602,2022-11-29
93311,2036,452.7955007091918,2022-11-29
93313,1062,236.18311481000083,2022-11-29
93461,0,0,2022-11-29
93203,1857,412.98685894743085,2022-11-29
93206,2507,557.5433793113673,2022-11-29
93215,1236,274.8797833381931,2022-11-29
93220,214,47.59245439674216,2022-11-29
93224,306,68.05276189440701,2022-11-29
93241,4,0.8895785868549937,2022-11-29
93243,415,92.2937783862056,2022-11-29
93249,992,220.61548954003845,2022-11-29
93250,351,78.0605209965257,2022-11-29
93251,480,106.74943042259925,2022-11-29
93263,679,151.00596511863517,2022-11-29
93276,28,6.227050107984956,2022-11-29
93280,6145,1366.6151040559841,2022-11-29
93287,28,6.227050107984956,2022-11-29
93301,80,17.791571737099876,2022-11-29
93304,140,31.13525053992478,2022-11-29
93305,355,78.95009958338069,2022-11-29
93306,1720,382.5187923476473,2022-11-29
93308,1528,339.8190201786076,2022-11-29
93309,215,47.814849043455915,2022-11-29
93312,190,42.2549828756122,2022-11-29
93314,90,20.01551820423736,2022-11-29
93518,375,83.39799251765567,2022-11-29
93531,35,7.783812634981195,2022-11-29
93561,211,46.92527045660092,2022-11-29
93252,237,52.70753127115838,2023-01-24
93268,824,183.25318889212872,2023-01-24
93307,3589,798.1743870556431,2023-01-24
93311,8673,1928.8287709483402,2023-01-24
93313,8856,1969.526991296956,2023-01-24
93461,1,0.22239464671374842,2023-01-24
93203,4648,1033.6903179255028,2023-01-24
93206,9199,2045.8083551197717,2023-01-24
93215,1711,380.5172405272236,2023-01-24
93220,148,32.914407713634766,2023-01-24
93224,138,30.690461246497282,2023-01-24
93241,38,8.45099657512244,2023-01-24
93243,393,87.40109615850314,2023-01-24
93249,1661,369.39750819153613,2023-01-24
93250,908,201.93433921608357,2023-01-24
93251,503,111.86450729701546,2023-01-24
93263,804,178.80529595785373,2023-01-24
93276,35,7.783812634981195,2023-01-24
93280,13322,2962.741483520557,2023-01-24
93287,17,3.7807089941337235,2023-01-24
93301,402,89.40264797892686,2023-01-24
93304,163,36.250327414340994,2023-01-24
93305,506,112.53169123715671,2023-01-24
93306,1815,403.6462837854534,2023-01-24
93308,3223,716.7779463584112,2023-01-24
93309,475,105.6374571890305,2023-01-24
93312,249,55.37626703172336,2023-01-24
93314,543,120.7602931655654,2023-01-24
93518,118,26.242568312222314,2023-01-24
93531,31,6.894234048126202,2023-01-24
93561,205,45.59090257631843,2023-01-24
93252,222,49.37161157045215,2023-02-01
93268,642,142.77736319022648,2023-02-01
93307,3452,767.7063204558596,2023-02-01
93311,10379,2308.2340382419948,2023-02-01
93313,9073,2017.7866296338395,2023-02-01
93461,1,0.22239464671374842,2023-02-01
93203,3845,855.1074166143627,2023-02-01
93206,11094,2467.246210642325,2023-02-01
93215,2724,605.8030176482507,2023-02-01
93220,63,14.01086274296615,2023-02-01
93224,137,30.468066599783533,2023-02-01
93241,25,5.559866167843711,2023-02-01
93243,293,65.16163148712829,2023-02-01
93249,1400,311.3525053992478,2023-02-01
93250,689,153.22991158577267,2023-02-01
93251,281,62.49289572656331,2023-02-01
93263,1808,402.0895212584572,2023-02-01
93276,32,7.1166286948399495,2023-02-01
93280,12257,2725.8911847704144,2023-02-01
93287,10,2.2239464671374845,2023-02-01
93301,342,76.05896917610197,2023-02-01
93304,125,27.799330839218555,2023-02-01
93305,417,92.73856767963309,2023-02-01
93306,1439,320.025896621084,2023-02-01
93308,3031,674.0781741893715,2023-02-01
93309,676,150.33878117849395,2023-02-01
93312,252,56.0434509718646,2023-02-01
93314,989,219.9483055998972,2023-02-01
93518,79,17.569177090386127,2023-02-01
93531,0,0,2023-02-01
93561,60,13.343678802824906,2023-02-01
93252,200,44.47892934274969,2023-02-09
93268,245,54.48668844486836,2023-02-09
93307,3088,686.7546690520552,2023-02-09
93311,8203,1824.3032869928784,2023-02-09
93313,5325,1184.2514937507103,2023-02-09
93461,1,0.22239464671374842,2023-02-09
93203,5502,1223.6153462190439,2023-02-09
93206,10116,2249.744246156279,2023-02-09
93215,2739,609.1389373489569,2023-02-09
93220,15,3.3359197007062265,2023-02-09
93224,89,19.79312355752361,2023-02-09
93241,8,1.7791571737099874,2023-02-09
93243,240,53.37471521129962,2023-02-09
93249,1200,266.8735760564981,2023-02-09
93250,590,131.21284156111156,2023-02-09
93251,191,42.47737752232595,2023-02-09
93263,2609,580.2276332761696,2023-02-09
93276,31,6.894234048126202,2023-02-09
93280,8633,1919.9329850797901,2023-02-09
93287,3,0.6671839401412453,2023-02-09
93301,238,52.929925917872126,2023-02-09
93304,104,23.129043258229835,2023-02-09
93305,324,72.0558655352545,2023-02-09
93306,1130,251.30595078653573,2023-02-09
93308,2301,511.7300820883351,2023-02-09
93309,458,101.85674819489678,2023-02-09
93312,226,50.26119015730715,2023-02-09
93314,2265,503.7238748066402,2023-02-09
93518,38,8.45099657512244,2023-02-09
93531,NA,NA,2023-02-09
93561,29,6.449444754698704,2023-02-09
93252,102,22.68425396480234,2023-03-13
93268,23,5.115076874416214,2023-03-13
93307,2743,610.0285159358119,2023-03-13
